SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,49789,4008,45367,414,0,483,-280,756,7,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,50146,8314,41298,534,0,748,-163,902,9,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,78220,12022,65740,458,0,1412,-76,1484,4,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,46004,7239,38300,465,0,666,-511,1175,2,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,21475,2929,18195,351,0,201,-145,342,4,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,51966,3946,47598,422,0,341,-102,438,5,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,36886,13747,22760,379,0,444,-632,1071,5,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,44130,4698,39038,394,0,756,-379,1132,3,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,32747,6203,26254,290,0,517,-84,597,4,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,44338,5925,38050,363,0,490,-21,506,5,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,28427,9864,18363,200,0,481,170,307,4,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,51565,8813,42360,392,0,1091,1054,33,4,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,36491,5496,30685,310,0,326,-699,1021,4,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,79,24,55,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,593,100,493,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,242,21,221,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,407,152,254,1,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,3,0,3,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,4,1,3,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,20,15,5,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,78,21,57,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,190,49,141,0,0,0,0,0,0,,
